t_ns,collective,label,n_active_flows,n_eps_flows,n_ocs_flows,core_bw_gbps,core_utilisation,core_queue_mb,ocs_bw_gbps,ocs_bytes_carried_mb,port_queue_mb_max,n_dark
112157.6,0,,102,56,8,50.0,1.0,64.2617,15.6923,1.5324,30.0142,0
112995.0,0,,101,56,8,50.0,1.0,64.2198,15.8462,1.5457,29.9718,0
113578.1,0,,100,56,8,50.0,1.0,64.1907,16.0,1.555,29.9423,0
115043.0,0,,100,56,8,50.0,1.0,64.1174,16.0,1.5784,29.8684,0
115578.1,0,,99,56,8,50.0,1.0,64.0907,16.1667,1.5871,29.8414,0
117578.1,0,,99,56,8,50.0,1.0,63.9907,16.1667,1.6194,29.7407,0
118984.2,0,,99,56,8,50.0,1.0,63.9204,16.1667,1.6422,29.6698,0
119578.1,0,,98,56,8,50.0,1.0,63.8907,16.3333,1.6519,29.6499,0
121578.1,0,,98,56,8,50.0,1.0,63.7907,16.3333,1.6845,29.5827,0
123553.6,0,,98,56,8,50.0,1.0,63.6919,16.3333,1.7168,29.5164,0
123578.1,0,,97,56,8,50.0,1.0,63.6907,16.5,1.7172,29.5155,0
125578.1,0,,97,56,8,50.0,1.0,63.5907,16.5,1.7502,29.4486,0
127578.1,0,,97,56,8,50.0,1.0,63.4907,16.5,1.7832,29.3817,0
129578.1,0,,97,56,8,50.0,1.0,63.3907,16.5,1.8162,29.3148,0
131578.1,0,,97,56,8,50.0,1.0,63.2907,16.5,1.8492,29.2479,0
133578.1,0,,97,56,8,50.0,1.0,63.1907,16.5,1.8822,29.1809,0
135578.1,0,,97,56,8,50.0,1.0,63.0907,16.5,1.9152,29.114,0
137578.1,0,,97,56,8,50.0,1.0,62.9907,16.5,1.9482,29.0471,0
139578.1,0,,97,56,8,50.0,1.0,62.8907,16.5,1.9812,28.9802,0
141578.1,0,,97,56,8,50.0,1.0,62.7907,16.5,2.0142,28.9133,0
143578.1,0,,97,56,8,50.0,1.0,62.6907,16.5,2.0472,28.8463,0
143979.0,0,,97,56,8,50.0,1.0,62.6706,16.5,2.0538,28.8329,0
145578.1,0,,96,56,8,50.0,1.0,62.5907,16.6667,2.0805,28.7796,0
147578.1,0,,96,56,8,50.0,1.0,62.4907,16.6667,2.1138,28.713,0
149578.1,0,,96,56,8,50.0,1.0,62.3907,16.6667,2.1471,28.6463,0
151578.1,0,,96,56,8,50.0,1.0,62.2907,16.6667,2.1805,28.5796,0
153578.1,0,,96,56,8,50.0,1.0,62.1907,16.6667,2.2138,28.513,0
155578.1,0,,96,56,8,50.0,1.0,62.0907,16.6667,2.2471,28.4463,0
157578.1,0,,96,56,8,50.0,1.0,61.9907,16.6667,2.2805,28.3796,0
159578.1,0,,96,56,8,50.0,1.0,61.8907,16.6667,2.3138,28.313,0
161578.1,0,,96,56,8,50.0,1.0,61.7907,16.6667,2.3471,28.2463,0
163578.1,0,,96,56,8,50.0,1.0,61.6907,16.6667,2.3805,28.1796,0
165578.1,0,,96,56,8,50.0,1.0,61.5907,16.6667,2.4138,28.113,0
167578.1,0,,96,56,8,50.0,1.0,61.4907,16.6667,2.4471,28.0463,0
169578.1,0,,96,56,8,50.0,1.0,61.3907,16.6667,2.4805,27.9796,0
171578.1,0,,96,56,8,50.0,1.0,61.2907,16.6667,2.5138,27.913,0
173578.1,0,,96,56,8,50.0,1.0,61.1907,16.6667,2.5471,27.8463,0
175578.1,0,,96,56,8,50.0,1.0,61.0907,16.6667,2.5805,27.7796,0
177578.1,0,,96,56,8,50.0,1.0,60.9907,16.6667,2.6138,27.713,0
179578.1,0,,96,56,8,50.0,1.0,60.8907,16.6667,2.6471,27.6463,0
181578.1,0,,96,56,8,50.0,1.0,60.7907,16.6667,2.6805,27.5796,0
183578.1,0,,96,56,8,50.0,1.0,60.6907,16.6667,2.7138,27.513,0
185578.1,0,,96,56,8,50.0,1.0,60.5907,16.6667,2.7471,27.4463,0
187578.1,0,,96,56,8,50.0,1.0,60.4907,16.6667,2.7805,27.3796,0
189578.1,0,,96,56,8,50.0,1.0,60.3907,16.6667,2.8138,27.313,0
191578.1,0,,96,56,8,50.0,1.0,60.2907,16.6667,2.8471,27.2463,0
193578.1,0,,96,56,8,50.0,1.0,60.1907,16.6667,2.8805,27.1796,0
195578.1,0,,96,56,8,50.0,1.0,60.0907,16.6667,2.9138,27.113,0
197578.1,0,,96,56,8,50.0,1.0,59.9907,16.6667,2.9471,27.0463,0
199578.1,0,,96,56,8,50.0,1.0,59.8907,16.6667,2.9805,26.9796,0
201578.1,0,,96,56,8,50.0,1.0,59.7907,16.6667,3.0138,26.913,0
203578.1,0,,96,56,8,50.0,1.0,59.6907,16.6667,3.0471,26.8463,0
205578.1,0,,96,56,8,50.0,1.0,59.5907,16.6667,3.0805,26.7796,0
207578.1,0,,96,56,8,50.0,1.0,59.4907,16.6667,3.1138,26.713,0
209578.1,0,,96,56,8,50.0,1.0,59.3907,16.6667,3.1471,26.6463,0
211578.1,0,,96,56,8,50.0,1.0,59.2907,16.6667,3.1805,26.5796,0
213578.1,0,,96,56,8,50.0,1.0,59.1907,16.6667,3.2138,26.513,0
215578.1,0,,96,56,8,50.0,1.0,59.0907,16.6667,3.2471,26.4463,0
217578.1,0,,96,56,8,50.0,1.0,58.9907,16.6667,3.2805,26.3796,0
219578.1,0,,96,56,8,50.0,1.0,58.8907,16.6667,3.3138,26.313,0
221578.1,0,,96,56,8,50.0,1.0,58.7907,16.6667,3.3471,26.2463,0
223578.1,0,,96,56,8,50.0,1.0,58.6907,16.6667,3.3805,26.1796,0
225578.1,0,,96,56,8,50.0,1.0,58.5907,16.6667,3.4138,26.113,0
227578.1,0,,96,56,8,50.0,1.0,58.4907,16.6667,3.4471,26.0463,0
229578.1,0,,96,56,8,50.0,1.0,58.3907,16.6667,3.4805,25.9796,0
231578.1,0,,96,56,8,50.0,1.0,58.2907,16.6667,3.5138,25.913,0
233578.1,0,,96,56,8,50.0,1.0,58.1907,16.6667,3.5471,25.8463,0
235578.1,0,,96,56,8,50.0,1.0,58.0907,16.6667,3.5805,25.7796,0
237578.1,0,,96,56,8,50.0,1.0,57.9907,16.6667,3.6138,25.713,0
239578.1,0,,96,56,8,50.0,1.0,57.8907,16.6667,3.6471,25.6463,0
241578.1,0,,96,56,8,50.0,1.0,57.7907,16.6667,3.6805,25.5796,0
243578.1,0,,96,56,8,50.0,1.0,57.6907,16.6667,3.7138,25.513,0
245578.1,0,,96,56,8,50.0,1.0,57.5907,16.6667,3.7471,25.4463,0
247578.1,0,,96,56,8,50.0,1.0,57.4907,16.6667,3.7805,25.3796,0
249578.1,0,,96,56,8,50.0,1.0,57.3907,16.6667,3.8138,25.313,0
251578.1,0,,96,56,8,50.0,1.0,57.2907,16.6667,3.8471,25.2463,0
253578.1,0,,96,56,8,50.0,1.0,57.1907,16.6667,3.8805,25.1796,0
255578.1,0,,96,56,8,50.0,1.0,57.0907,16.6667,3.9138,25.113,0
257578.1,0,,96,56,8,50.0,1.0,56.9907,16.6667,3.9471,25.0463,0
259578.1,0,,96,56,8,50.0,1.0,56.8907,16.6667,3.9805,24.9796,0
261578.1,0,,96,56,8,50.0,1.0,56.7907,16.6667,4.0138,24.913,0
263578.1,0,,96,56,8,50.0,1.0,56.6907,16.6667,4.0471,24.8463,0
265578.1,0,,96,56,8,50.0,1.0,56.5907,16.6667,4.0805,24.7796,0
267295.9,0,,96,56,8,50.0,1.0,56.5048,16.6667,4.1091,24.7224,0
267578.1,0,,95,56,8,50.0,1.0,56.4907,16.8478,4.1138,24.713,0
269578.1,0,,95,56,8,50.0,1.0,56.3907,16.8478,4.1475,24.6466,0
271578.1,0,,95,56,8,50.0,1.0,56.2907,16.8478,4.1812,24.5802,0
273578.1,0,,95,56,8,50.0,1.0,56.1907,16.8478,4.2149,24.5138,0
275578.1,0,,95,56,8,50.0,1.0,56.0907,16.8478,4.2486,24.4474,0
277578.1,0,,95,56,8,50.0,1.0,55.9907,16.8478,4.2823,24.381,0
279578.1,0,,95,56,8,50.0,1.0,55.8907,16.8478,4.316,24.3146,0
281578.1,0,,95,56,8,50.0,1.0,55.7907,16.8478,4.3497,24.2482,0
