collective,src,dst,bytes,means,tier,bw_gbps,start_ns,end_ns,dur_ns
all_to_all_dispatch,1,30,950272,CROSS_POD,CROSS_POD,12.5,1933953.0,2021974.7,88021.8
all_to_all_dispatch,1,20,778240,CROSS_POD,CROSS_POD,12.5,2021974.7,2096233.9,74259.2
all_to_all_dispatch,1,2,512000,INTRA_NODE,INTRA_NODE,450.0,35872.6,39010.4,3137.8
all_to_all_dispatch,2,29,2486272,OCS,OPTICAL,50.0,118659.8,174385.3,55725.4
all_to_all_dispatch,2,24,1925120,OCS,OPTICAL,50.0,237387.5,281889.9,44502.4
all_to_all_dispatch,2,11,1925120,INTRA_POD,INTRA_POD,50.0,281889.9,325392.3,43502.4
all_to_all_dispatch,2,5,1830912,INTRA_NODE,INTRA_NODE,450.0,12110.1,18178.8,6068.7
all_to_all_dispatch,2,18,1769472,OCS,OPTICAL,50.0,325392.3,366781.8,41389.4
all_to_all_dispatch,2,21,1732608,OCS,OPTICAL,50.0,366781.8,407433.9,40652.2
all_to_all_dispatch,2,3,1622016,INTRA_NODE,INTRA_NODE,450.0,18178.8,23783.3,5604.5
all_to_all_dispatch,2,14,1589248,INTRA_POD,INTRA_POD,50.0,501416.0,538201.0,36785.0
all_to_all_dispatch,2,17,1515520,CROSS_POD,CROSS_POD,12.5,538201.0,671442.6,133241.6
all_to_all_dispatch,2,8,1425408,INTRA_POD,INTRA_POD,50.0,671442.6,704950.7,33508.2
all_to_all_dispatch,2,25,1343488,CROSS_POD,CROSS_POD,12.5,704950.7,824429.8,119479.0
all_to_all_dispatch,2,9,1339392,INTRA_POD,INTRA_POD,50.0,879110.1,910897.9,31787.8
all_to_all_dispatch,2,10,1314816,INTRA_POD,INTRA_POD,50.0,1019317.8,1050614.1,31296.3
all_to_all_dispatch,2,4,1302528,INTRA_NODE,INTRA_NODE,450.0,26993.8,31888.4,4894.5
all_to_all_dispatch,2,28,1282048,CROSS_POD,CROSS_POD,12.5,1245496.3,1360060.2,114563.8
all_to_all_dispatch,2,27,1273856,CROSS_POD,CROSS_POD,12.5,1360060.2,1473968.6,113908.5
all_to_all_dispatch,2,13,1232896,INTRA_POD,INTRA_POD,50.0,1492731.2,1522389.1,29657.9
all_to_all_dispatch,2,22,1220608,CROSS_POD,CROSS_POD,12.5,1522389.1,1632037.8,109648.6
all_to_all_dispatch,2,26,1208320,CROSS_POD,CROSS_POD,12.5,1632037.8,1740703.4,108665.6
all_to_all_dispatch,2,12,1175552,INTRA_POD,INTRA_POD,50.0,1740703.4,1769214.4,28511.0
all_to_all_dispatch,2,7,1138688,INTRA_NODE,INTRA_NODE,450.0,31888.4,36418.8,4530.4
all_to_all_dispatch,2,16,1130496,CROSS_POD,CROSS_POD,12.5,1769214.4,1871654.1,102439.7
all_to_all_dispatch,2,15,1130496,INTRA_POD,INTRA_POD,50.0,1871654.1,1899264.0,27609.9
all_to_all_dispatch,2,23,1114112,CROSS_POD,CROSS_POD,12.5,1899264.0,2000393.0,101129.0
all_to_all_dispatch,2,19,1085440,CROSS_POD,CROSS_POD,12.5,2000393.0,2099228.2,98835.2
all_to_all_dispatch,2,31,1019904,CROSS_POD,CROSS_POD,12.5,2099228.2,2192820.5,93592.3
all_to_all_dispatch,2,30,987136,CROSS_POD,CROSS_POD,12.5,2192820.5,2283791.4,90970.9
all_to_all_dispatch,2,6,937984,INTRA_NODE,INTRA_NODE,450.0,36418.8,40503.2,4084.4
all_to_all_dispatch,2,20,864256,CROSS_POD,CROSS_POD,12.5,2283791.4,2364931.8,81140.5
all_to_all_dispatch,3,29,2314240,OCS,OPTICAL,50.0,174385.3,226670.1,52284.8
all_to_all_dispatch,3,24,1875968,OCS,OPTICAL,50.0,281889.9,325409.3,43519.4
all_to_all_dispatch,3,11,1781760,INTRA_POD,INTRA_POD,50.0,325409.3,366044.5,40635.2
all_to_all_dispatch,3,5,1687552,INTRA_NODE,INTRA_NODE,450.0,18178.8,23928.9,5750.1
all_to_all_dispatch,3,21,1646592,CROSS_POD,CROSS_POD,12.5,407433.9,551161.3,143727.4
all_to_all_dispatch,3,18,1646592,OCS,OPTICAL,50.0,551161.3,590093.1,38931.8
all_to_all_dispatch,3,14,1495040,INTRA_POD,INTRA_POD,50.0,590093.1,624993.9,34900.8
all_to_all_dispatch,3,17,1474560,CROSS_POD,CROSS_POD,12.5,671442.6,801407.4,129964.8
all_to_all_dispatch,3,8,1425408,INTRA_POD,INTRA_POD,50.0,801407.4,834915.5,33508.2
