collective,src,dst,bytes,means,tier,bw_gbps,start_ns,end_ns,dur_ns
all_to_all_dispatch,1,31,958464,OCS,OPTICAL,50.0,2473701.4,2498870.7,25169.3
all_to_all_dispatch,1,30,950272,OCS,OPTICAL,50.0,2498870.7,2523876.2,25005.4
all_to_all_dispatch,1,20,778240,OCS,OPTICAL,50.0,2523876.2,2545441.0,21564.8
all_to_all_dispatch,1,2,512000,INTRA_NODE,INTRA_NODE,450.0,35872.6,39010.4,3137.8
all_to_all_dispatch,2,29,2486272,CROSS_POD,CROSS_POD,12.5,450639.4,661541.1,210901.8
all_to_all_dispatch,2,24,1925120,CROSS_POD,CROSS_POD,12.5,661541.1,827550.7,166009.6
all_to_all_dispatch,2,11,1925120,INTRA_POD,INTRA_POD,50.0,827550.7,871053.1,43502.4
all_to_all_dispatch,2,5,1830912,INTRA_NODE,INTRA_NODE,450.0,12110.1,18178.8,6068.7
all_to_all_dispatch,2,18,1769472,CROSS_POD,CROSS_POD,12.5,912462.4,1066020.2,153557.8
all_to_all_dispatch,2,21,1732608,CROSS_POD,CROSS_POD,12.5,1066020.2,1216628.8,150608.6
all_to_all_dispatch,2,3,1622016,INTRA_NODE,INTRA_NODE,450.0,18178.8,23783.3,5604.5
all_to_all_dispatch,2,14,1589248,INTRA_POD,INTRA_POD,50.0,1246368.6,1283153.6,36785.0
all_to_all_dispatch,2,17,1515520,CROSS_POD,CROSS_POD,12.5,1283153.6,1416395.2,133241.6
all_to_all_dispatch,2,8,1425408,INTRA_POD,INTRA_POD,50.0,1416395.2,1449903.4,33508.2
all_to_all_dispatch,2,25,1343488,CROSS_POD,CROSS_POD,12.5,1449903.4,1569382.4,119479.0
all_to_all_dispatch,2,9,1339392,INTRA_POD,INTRA_POD,50.0,1569382.4,1601170.2,31787.8
all_to_all_dispatch,2,10,1314816,INTRA_POD,INTRA_POD,50.0,1647743.4,1679039.7,31296.3
all_to_all_dispatch,2,4,1302528,INTRA_NODE,INTRA_NODE,450.0,26993.8,31888.4,4894.5
all_to_all_dispatch,2,28,1282048,CROSS_POD,CROSS_POD,12.5,1873921.9,1988485.8,114563.8
all_to_all_dispatch,2,27,1273856,CROSS_POD,CROSS_POD,12.5,1988485.8,2102394.2,113908.5
all_to_all_dispatch,2,13,1232896,INTRA_POD,INTRA_POD,50.0,2121156.8,2150814.7,29657.9
all_to_all_dispatch,2,22,1220608,CROSS_POD,CROSS_POD,12.5,2150814.7,2260463.4,109648.6
all_to_all_dispatch,2,26,1208320,CROSS_POD,CROSS_POD,12.5,2260463.4,2369129.0,108665.6
all_to_all_dispatch,2,12,1175552,INTRA_POD,INTRA_POD,50.0,2369129.0,2397640.0,28511.0
all_to_all_dispatch,2,7,1138688,INTRA_NODE,INTRA_NODE,450.0,31888.4,36418.8,4530.4
all_to_all_dispatch,2,16,1130496,CROSS_POD,CROSS_POD,12.5,2397640.0,2500079.7,102439.7
all_to_all_dispatch,2,15,1130496,INTRA_POD,INTRA_POD,50.0,2500079.7,2527689.6,27609.9
all_to_all_dispatch,2,23,1114112,CROSS_POD,CROSS_POD,12.5,2527689.6,2628818.6,101129.0
all_to_all_dispatch,2,19,1085440,CROSS_POD,CROSS_POD,12.5,2628818.6,2727653.8,98835.2
all_to_all_dispatch,2,31,1019904,OCS,OPTICAL,50.0,2727653.8,2754051.8,26398.1
all_to_all_dispatch,2,30,987136,OCS,OPTICAL,50.0,2754051.8,2779794.6,25742.7
all_to_all_dispatch,2,6,937984,INTRA_NODE,INTRA_NODE,450.0,36418.8,40503.2,4084.4
all_to_all_dispatch,2,20,864256,OCS,OPTICAL,50.0,2779794.6,2803079.7,23285.1
all_to_all_dispatch,3,29,2314240,CROSS_POD,CROSS_POD,12.5,661541.1,858680.3,197139.2
all_to_all_dispatch,3,24,1875968,CROSS_POD,CROSS_POD,12.5,858680.3,1020757.8,162077.4
all_to_all_dispatch,3,11,1781760,INTRA_POD,INTRA_POD,50.0,1020757.8,1061393.0,40635.2
all_to_all_dispatch,3,5,1687552,INTRA_NODE,INTRA_NODE,450.0,18178.8,23928.9,5750.1
all_to_all_dispatch,3,21,1646592,CROSS_POD,CROSS_POD,12.5,1216628.8,1360356.2,143727.4
all_to_all_dispatch,3,18,1646592,CROSS_POD,CROSS_POD,12.5,1360356.2,1504083.5,143727.4
all_to_all_dispatch,3,14,1495040,INTRA_POD,INTRA_POD,50.0,1504083.5,1538984.3,34900.8
all_to_all_dispatch,3,17,1474560,CROSS_POD,CROSS_POD,12.5,1538984.3,1668949.1,129964.8
